gene_short_name	term	q_value	estimate
RPS19	clus3TRUE	1.040382e-39	-0.3250799
TPT1	clus3TRUE	1.28146e-35	-0.388919
RPS20	clus3TRUE	3.029874e-35	-0.4395231
RPLP2	clus3TRUE	8.21424e-34	-0.29683
RPLP1	clus3TRUE	6.1787e-31	-0.2915947
RPS6	clus3TRUE	4.678614e-30	-0.248725
BTG1	clus3TRUE	1.107351e-28	-0.9592447
EIF1	clus3TRUE	1.09214e-27	-0.36888
DDX5	clus3TRUE	1.212491e-25	-0.3248478
RPL13	clus3TRUE	2.89905e-25	-0.3217837
RPS12	clus3TRUE	6.188838e-23	-0.3391038
RPS3	clus3TRUE	1.20448e-22	-0.2476586
B2M	clus3TRUE	7.60227e-22	-0.20741
RPS14	clus3TRUE	1.301998e-21	-0.2277651
RPS25	clus3TRUE	1.7157e-21	-0.3372972
RPL14	clus3TRUE	6.899508e-21	-0.3792546
RPS21	clus3TRUE	2.550297e-20	-0.2586153
RPL36	clus3TRUE	2.760574e-20	-0.2281038
RPL32	clus3TRUE	3.482223e-20	-0.3376923
RPL30	clus3TRUE	3.52688e-20	-0.3033254
HLA-A	clus3TRUE	5.962567e-19	-0.2526433
RPL31	clus3TRUE	1.488564e-18	-0.3222334
RPL11	clus3TRUE	1.540985e-18	-0.2959908
RPS29	clus3TRUE	2.570472e-18	-0.416426
CLIC1	clus3TRUE	5.974425e-18	0.5622597
TUBB	clus3TRUE	1.006876e-17	0.4314026
RPL19	clus3TRUE	3.846656e-17	-0.1734649
TNFRSF9	clus3TRUE	6.295056e-17	0.8044699
ACAT2	clus3TRUE	9.31364e-17	0.7475881
UBC	clus3TRUE	1.62967e-16	-0.2615816
RPL34	clus3TRUE	1.862232e-16	-0.3522176
CDK2AP2	clus3TRUE	2.950644e-16	0.6028614
RPS18	clus3TRUE	3.573332e-16	-0.2221311
SRSF5	clus3TRUE	6.0048e-16	-0.4845238
ACOT7	clus3TRUE	6.87458e-16	1.277542
DYNLL1	clus3TRUE	8.77968e-16	0.5236343
RPL27	clus3TRUE	4.794417e-15	-0.2480315
MT-CO3	clus3TRUE	1.46289e-14	-0.1975675
RPL35A	clus3TRUE	1.642719e-14	-0.2099835
BHLHE40	clus3TRUE	4.365e-14	1.033911
ATP5A1	clus3TRUE	4.634382e-14	0.3502981
RPL3	clus3TRUE	4.79872e-14	-0.216777
SNRPA	clus3TRUE	5.600259e-14	0.6570379
SRSF7	clus3TRUE	7.8708e-14	-0.3573162
ATP5G3	clus3TRUE	8.61925e-14	0.2713308
RPS2	clus3TRUE	1.596222e-13	-0.2061073
FTH1	clus3TRUE	1.753362e-13	-0.5356656
CD44	clus3TRUE	1.992872e-13	-0.5805549
GAPDH	clus3TRUE	3.603171e-13	0.2292791
RPL28	clus3TRUE	4.42659e-13	-0.3234031
WARS	clus3TRUE	7.062127e-13	0.5919384
RPL18	clus3TRUE	1.228032e-12	-0.1741795
TUBG1	clus3TRUE	3.765961e-12	0.978576
RPL38	clus3TRUE	3.85529e-12	-0.1917082
RPL36AL	clus3TRUE	1.07784e-11	-0.1830375
RPS15	clus3TRUE	1.728804e-11	-0.1751601
RPL37A	clus3TRUE	2.087757e-11	-0.2279395
COTL1	clus3TRUE	3.336972e-11	0.482462
RPL23	clus3TRUE	4.092107e-11	-0.2549466
SMS	clus3TRUE	4.862e-11	0.6556599
COPB2	clus3TRUE	4.883787e-11	0.6399088
ATP5G1	clus3TRUE	7.111578e-11	0.4081999
RPS13	clus3TRUE	1.039303e-10	-0.1951128
RPL12	clus3TRUE	1.300824e-10	-0.3393383
FTL	clus3TRUE	1.487525e-10	-0.2643908
PSMD2	clus3TRUE	3.55015e-10	0.4629788
CCDC167	clus3TRUE	4.364232e-10	0.7815119
GLTSCR2	clus3TRUE	7.69616e-10	-0.7248753
IL7R	clus3TRUE	7.76984e-10	-0.8640327
UBA52	clus3TRUE	1.06074e-09	-0.1997277
ARGLU1	clus3TRUE	1.463924e-09	-0.7024203
RPS11	clus3TRUE	1.4936e-09	-0.1752632
N4BP2L2	clus3TRUE	1.687542e-09	-0.5809691
SYNE2	clus3TRUE	3.561282e-09	-1.262214
RPL37	clus3TRUE	3.85194e-09	-0.30357
PDIA6	clus3TRUE	4.25448e-09	0.4180075
RBM25	clus3TRUE	6.41818e-09	-0.4285179
RPS9	clus3TRUE	1.402856e-08	-0.2603747
EEF1B2	clus3TRUE	1.514583e-08	-0.2474512
RPL13A	clus3TRUE	2.78258e-08	-0.2698594
STOML2	clus3TRUE	2.841879e-08	0.4525367
RPL35	clus3TRUE	3.423222e-08	-0.1798539
GALM	clus3TRUE	3.832898e-08	1.142782
CCNL1	clus3TRUE	3.944224e-08	-0.5462965
DNTTIP2	clus3TRUE	4.062975e-08	-0.4365993
CD53	clus3TRUE	6.663876e-08	-0.50705
RPL26	clus3TRUE	6.923837e-08	-0.2414452
PPIB	clus3TRUE	7.89912e-08	0.2647351
TUBA4A	clus3TRUE	1.028238e-07	0.4766641
SLC3A2	clus3TRUE	1.05045e-07	-0.4296405
RPLP0	clus3TRUE	1.534494e-07	-0.1770489
PNISR	clus3TRUE	2.115232e-07	-0.4856452
GPS1	clus3TRUE	2.152183e-07	0.5979472
VIM	clus3TRUE	2.486964e-07	-0.7380278
PTPN6	clus3TRUE	3.700165e-07	0.6750101
CCND3	clus3TRUE	4.377072e-07	0.6500489
FNBP4	clus3TRUE	4.882608e-07	-0.5037809
SH2D2A	clus3TRUE	5.536848e-07	0.4747702
